78.637195,learned in class or from book,5,learned in class or from book,2,"",a399e79a-dce4-4bec-b61a-a7c1a5fca590,a399e79a-dce4-4bec-b61a-a7c1a5fca590,a399e79a-dce4-4bec-b61a-a7c1a5fca590
87.343525,used on one project in industry,1.5,used on a class project,1,"uml, er",9aa12dd8-e97d-41b2-8830-d5feaea4b466,9aa12dd8-e97d-41b2-8830-d5feaea4b466,9aa12dd8-e97d-41b2-8830-d5feaea4b466
50.183934,learned in class or from book,0,used on one project in industry,1,"automation modeling adjacent to graphical modeling languages (make.com, n8n)",bec79a42-b535-457e-9bbf-5525e5d0b81a,bec79a42-b535-457e-9bbf-5525e5d0b81a,bec79a42-b535-457e-9bbf-5525e5d0b81a
76.929482,used on one project in industry,1,no experience,0,0,8de6a114-bd88-4a65-b759-6af6886f088f,8de6a114-bd88-4a65-b759-6af6886f088f,8de6a114-bd88-4a65-b759-6af6886f088f
55.974587,used on multiple projects in industry,4,no experience,0,1,a42258aa-4570-4aec-b998-ff5a7d247efc,a42258aa-4570-4aec-b998-ff5a7d247efc,a42258aa-4570-4aec-b998-ff5a7d247efc
23.981361,used on a class project,5,learned in class or from book,1,"UML, ER",12ed4e88-2347-4683-a8f3-1b192ff38aa9,12ed4e88-2347-4683-a8f3-1b192ff38aa9,12ed4e88-2347-4683-a8f3-1b192ff38aa9
76.423514,used on a class project,2,used on a class project,1,ER,ca72f635-36c5-45f4-ab46-cb6b73911b55,ca72f635-36c5-45f4-ab46-cb6b73911b55,ca72f635-36c5-45f4-ab46-cb6b73911b55
22.593778,used on a class project,"",no experience,None,none,a9b4f52a-c001-4480-b1b9-b45bfa2ee731,a9b4f52a-c001-4480-b1b9-b45bfa2ee731,a9b4f52a-c001-4480-b1b9-b45bfa2ee731
28.812669,used on multiple projects in industry,25,used on multiple projects in industry,25,Most,1765c273-7922-4e11-bd34-8935ee015fd5,1765c273-7922-4e11-bd34-8935ee015fd5,1765c273-7922-4e11-bd34-8935ee015fd5
62.485329,used on a class project,5,used on a class project,5,UML,77b92ad3-7a90-4937-b580-0dc1695e1419,77b92ad3-7a90-4937-b580-0dc1695e1419,77b92ad3-7a90-4937-b580-0dc1695e1419
44.895121,no experience,none,learned in class or from book,1,ER,c5914a3a-1837-409d-881c-c0b605341c5f,c5914a3a-1837-409d-881c-c0b605341c5f,c5914a3a-1837-409d-881c-c0b605341c5f
