Confirm Coffee Preferences,Get Sun Data,simple,17.517797,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,4.976864,scale_0,0
Stakeholders,"Next QR, Order Item, and Tray",complex,6.579837,scale_0,-1
"Next QR, Order Item, and Tray",Stakeholders,complex,9.43369,scale_0,2
Stakeholders,"Next QR, Order Item, and Tray",complex,8.668344,scale_0,2
Get Delays,Create Program,medium,7.388707,scale_0,-1
Get Delays,Create Program,medium,2.502839,scale_0,1
Create Program,Get Delays,medium,4.528365,scale_0,0
Create Program,Get Delays,medium,42.855745,scale_0,0
Get Delays,Create Program,medium,4.512169,scale_0,0
Get Delays,Create Program,medium,4.19508,scale_0,0
Confirm Coffee Preferences,Get Sun Data,simple,23.649695,scale_0,0
"Next QR, Order Item, and Tray",Stakeholders,complex,2.852034
Create Program,Get Delays,medium,6.933015,scale_0,2
Create Program,Get Delays,medium,38.136129,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,14.861549,scale_0,-1
Get Sun Data,Confirm Coffee Preferences,simple,12.0409,scale_0,0
Stakeholders,"Next QR, Order Item, and Tray",complex,47.787162,scale_0,-2
Create Program,Get Delays,medium,6.349537,scale_0,2
Get Delays,Create Program,medium,67.796104,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,75.983997,scale_0,1
Create Program,Get Delays,medium,7.558243,scale_0,-2
Get Sun Data,Confirm Coffee Preferences,simple,64.073921,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,10.686238,scale_0,-2
Confirm Coffee Preferences,Get Sun Data,simple,39.158355,scale_0,-2
Confirm Coffee Preferences,Get Sun Data,simple,38.839503,scale_0,2
Get Delays,Create Program,medium,6.940302,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,9.934963,scale_0,-1
Create Program,Get Delays,medium,3.602837
Stakeholders,"Next QR, Order Item, and Tray",complex,2.570409,scale_0,0
Stakeholders,"Next QR, Order Item, and Tray",complex,16.592226,scale_0,0
Stakeholders,"Next QR, Order Item, and Tray",complex,10.398126,scale_0,-2
Get Delays,Create Program,medium,5.751828,scale_0,0
Confirm Coffee Preferences,Get Sun Data,simple,47.133769,scale_0,2
Get Sun Data,Confirm Coffee Preferences,simple,29.504191,scale_0,0
Get Sun Data,Confirm Coffee Preferences,simple,75.837679,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,196.130166,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,54.235814,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,33.580408,scale_0,2
Get Delays,Create Program,medium,7.66639,scale_0,-1
"Next QR, Order Item, and Tray",Stakeholders,complex,6.392919,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,6.481755,scale_0,-1
Get Delays,Create Program,medium,150.956763,scale_0,1
Get Delays,Create Program,medium,12.063001,scale_0,2
Get Delays,Create Program,medium,9.990877,scale_0,0
"Next QR, Order Item, and Tray",Stakeholders,complex
